nationality,gender,age,overall rating,value for money rating,security rating,location rating,facilities rating,staff rating,atmosphere rating,cleanliness rating,text review
USA,Male,25-30,9.1,10,10,8,10,8,10,8,"nice place to stay for the holiday, i am looking forward to lodging here any time i am in usa or any other country again. "
Belgium,Male,25-30,8.9,6,8,10,10,10,8,10,"pricey, but very well located, friendly staff and original decoration/architecture."
USA,Male,41+,8,8,10,10,2,10,8,8,hostel fish is just what is says it is--a place for backpackers. i am an older woman who enjoys travel but must live within a budget. so i often use hostels. i read on the website about handicapped accessible bathrooms/showers. this implied good accessibility for someone with a lame hip. imagine my shock to open the door of the hostel and be faced with a 2-story flight of stairs! please make this clear on your website and remove references to &quot;handicapped accessible&quot; because you are not!
USA,Male,41+,8.6,6,10,8,8,8,10,10,"beautiful hostel, very clean, great spaces to relax, a nice bar on the premises! it&#039;s a bit pricey for a hostel, especially considering there&#039;s a no breakfast offered in the morning. when i checked in, the staffer didn&#039;t deduct my hostel world deposit from the price of my stay. she was dismissive when i asked why the deposit wasn&#039;t taken into account. said that it was something between me and hostel world, not hostel fish. i have contacted hostel world and they are working to rectify the issue."
USA,Male,18-24,8.3,6,10,10,8,8,6,10,"the place itself it very cool and the staff are great, but it is located above a nightclub - no guarantees of a quiet night&#039;s sleep. "
China,Female,18-24,5.1,4,6,8,2,4,6,6,"i lived in a 7 bed female dorm and was allocated to sleep on the top of the triple bunk bed. it was very troublesome for me to get to the bed back and forth. also, the space there was not very little that i could not sit on my bed and had to lie down or else my head would hit the ceiling. the air-con in the dorm was very noisy while the staff at the late night chatted loudly. all these caused me have a bad sleep. the staff there were not very friendly at all that they will not greet you. "
USA,Female,31-40,9.1,10,10,10,8,10,8,8,"pretty great place! location is killer! i had wished for more social space that wasn&#039;t the bar. the music was loud enough that i had a hard time hearing the person i was talking with.   bathroom facilities were nice but there was a bit of mildew along all the shower curtains and random dirt in the shower. kinda par the course but for the cost of this hostel, would have thought that would have been cleaner. "
NewZealand,Male,25-30,5.1,2,6,6,6,2,4,10,"in a word, overpriced. if it had been $20 less a night i wouldn&#039;t have had any issues, but there was some basic stuff wrong which seems to have been compromised in favour of spending more money on decor. internet was patchy, staff were at best aloof, at worst outright rude, and the 3 high bunks made getting into the middle one very difficult, and rearranging sheets near on impossible. i couldn&#039;t recommend this place in good faith, feel they are monopolising on the lack of hostels in denver."
Canada,Female,18-24,9.4,8,10,10,10,10,10,8,"just lovely. close to everything. great atmosphere, clean rooms and friendly everyone. truly was a great stay and thank you to chad (owner) for chatting with us, you&#039;re doing it right! my sister and i had a great stay. met lots of people and just love the vibe and decor around the hostel. pinao was a nice treat, especially early in the morning when played very soft and beautiful. "
USA,Male,25-30,4.9,2,6,6,6,2,6,6,"my flight was extremely delayed coming in, and i was only going to spend one night in the hostel.  due to the duration of the flight i was unable to make it in because i needed to be at the airport for my returning flight home in just a few hours.  i got charged the full amount anyways and staff were not flexible enough to give even a partial reimbursement.  unless they offer my first night free when i decide to return to denver, there is no way i am going to stay here.  you know how to reach me"
USA,Male,25-30,10,10,10,10,10,10,10,10,this place was awesome. it was super clean and great to hang out in. you couldn&#039;t ask for a better location either. it&#039;s right next to everything you need to see in downtown denver. this place is recommended to the max. 
USA,Male,25-30,9.7,8,10,10,10,10,10,10,"i loved my stay at hostel fish.  right next to a nice strip of bars and restaurants, down the street from coors field and pretty easy to find.  it has a nice lounge area with a sitting room, bar and kitchenette.  there is even a quiet reading room on the top floor and an outdoor patio as well.  rooms and bathrooms were very clean.  being on the top bunk was somewhat sketchy getting up and down so if you&#039;re not comfortable with climbing request a lower bunk.  a great place to stay in denv"
USA,Male,31-40,9.4,8,10,10,8,10,10,10,"super cool hostel. great atmosphere, perfect location, cool style. was the most expensive hostel i&#039;ve stayed in. thought the price was a little steep, considering it didn&#039;t have a continental breakfast, like many cheaper ones do. however, it has a bar, which is great, and the location is so perfect that it&#039;s tough to find much wrong."
Canada,MixedGroup,18-24,8.9,8,8,10,8,10,10,8,"very central location.   great place to hang out, with a nice atmosphere, but can get a little noisy at night! "
Italy,Male,25-30,8.6,8,10,8,8,8,10,8,it was my first hostel in usa. it was great!
USA,Female,41+,10,10,10,10,10,10,10,10,had a great time! wonderful everything.
USA,Male,25-30,7.7,8,6,10,10,2,8,10,"good location, well maintained, and seemed to have a fun ambiance. clean facilities!  unfortunately the staff was a different matter.  my experience with hostels has come from trips to europe, mexico, and canada.  recently started trying hostels in the us, this was by far the coldest and least friendliest reception i&#039;ve ever received. only information i received upon payment was the name and general direction of the room. rest of the staff seemed fine, but initial reception was bad."
USA,Female,18-24,8.3,8,8,8,8,8,10,8,"it was a bit hard to get ahold of the front desk. i understand they don&amp;#39;t need many people to run the place (bartender also works front), but they should have a bell or something to know that someone&amp;#39;s standing up front. "
Australia,Female,25-30,7.7,6,8,10,6,10,8,6,"had a great time. friendly staff, friendly guests. most comfortable hostel bed i&amp;#39;ve slept in. location is awesome, public transport/dining -everywhere i ate in vicinity was delicious.  for the price would expect cleaner bathrooms and kitchen. wore my flip flops in the shower, also shower base has no lip and no floor mats provided so water goes everywhere then people walking through it leaves it dirty. microwave gross and fridge needs clearing out.  loved denver and would definitely stay again."
USA,Female,18-24,10,10,10,10,10,10,10,10,super cool hostel with great vibes in denver!
Bahrain,Male,25-30,10,10,10,10,10,10,10,10,i haven&amp;#39;t been to many hostels but hostel fish was great. it was always clean and staff were friendly and accommodating. it&amp;#39;s just a walk away from 16th street which is lined up with restaurants and shops. 
Slovenia,Male,25-30,7.7,6,4,10,6,10,8,10,"a social hostel with a very classy feel and an awesome bar, located in downtown denver. a bit expensive though for a hostel. easy to reach from the airport. very friendly staff. there is no breakfast included which would be a nice addition. one thing that i found as bit of an issue was that everyone could enter through the main doors facing a very busy street which should not be the case since people from the reception cannot see them immediately. however, all in all, i do recommend this hostel."
Australia,Male,31-40,10,10,10,10,10,10,10,10,this was a great spot - the bar inside the hostel is super funky and the hostel is really clean and hip
Australia,Male,18-24,7.7,4,8,8,10,8,6,10,"pricey, however not fish&#039;s fault. no competition in denver for any other reputable hostels, or hostel culture in the us."
Paraguay,Female,25-30,9.1,10,8,8,10,8,10,10,"i loved the place. i met a lot of friendly people and loved the decoration. every room hase it&amp;#39;s one theme, pretty  coool. "
USA,Male,18-24,9.4,8,10,10,8,10,10,10,"had an excellent stay here. friendly staff, really nice accommodations, great location and excellent atmosphere. even talked with the owner for a little while. real cool guy."
USA,Male,25-30,8,6,8,10,8,6,8,10,okay overall.
USA,Female,25-30,10,10,10,10,10,10,10,10,"great location, super friendly staff, bar onsite...just keep in mind that if you drive you&amp;#39;ll have to pay for parking"
England,Male,31-40,8.6,6,8,10,8,8,10,10,"great location to explore denver and a good base for visiting the rockies. the bar has a great atmosphere and a good area to meet like minded travelers.   the cost per night is a pricey, especially if you end up on the top of a 3 bed bunk. "
USA,Male,25-30,9.4,8,10,10,10,10,8,10,"located in lodo neighborhood, walking distance to bars, restaurants, dispensaries and coors field.  short ride to all the other denver neighborhoods.  staff was friendly.  you can smoke on the balcony.  plenty of bathrooms and showers, never had to wait for one.  luckily i got one of the bottom bunks, i would hate to be the third bunk up top.  also wish they had a basic complimentary breakfast (fruit, muffins, coffee).  recommended, i enjoyed my stay!"
USA,Male,31-40,10,10,10,10,10,10,10,10,"wonderful in everyway. very clean, neat, friendly and convenient, i would recommend to it highly."
USA,Female,18-24,6.6,6,8,8,6,6,6,6,this placed offered me the necessities. i had a bed with clean sheets (i wish each bed had privacy curtains!) the bathrooms were clean. the location is great for walking to downtown and close to the bars! but keep in mind close to the bars means friday and saturday it is extremely loud outside and you hear everything! walls between rooms are thin. the common areas are small. overall i felt it didn&amp;#39;t offer much besides a bed and shower! not a big sense of community i&amp;#39;ve come to love about hostels
USA,Male,25-30,10,10,10,10,10,10,10,10,amazing experience.
Scotland,Male,18-24,10,10,10,10,10,10,10,10,"amazing. very clean hostel with friendly staff. good location. lockers for every bed. good bar and kitchen area. toiletries, padlocks, towels available for rent or to buy. "
USA,Male,31-40,9.1,8,8,8,10,10,10,10,"downtown denver can come across as an intense place, especially on an evening in the middle of summer when you roll in sleep deprived and disoriented from travel.  this place is a reprieve from all that…  cool folks, very accommodating and easy natured.   clean bed situation, clean bathrooms, clean public areas.  this is a well maintained, authentic place, in a world that doesn&amp;#39;t always have those qualities.   thank you fish..."
USA,Female,25-30,10,10,10,10,10,10,10,10,"awesome stay! stayed in the paris room and the girls were awesome. everyone was super friendly and respectful. great downtown location, easy to access by public transportation. everything was clean and well maintained. next time i&amp;#39;m in denver i will definitely stay here again!! "
USA,Couple,25-30,9.7,8,10,10,10,10,10,10,"hostel fish is an incredible hostel in a great area of denver. the location, facilities and the staff are all fantastic. the staff welcomes all to the hostel and often times will hang out with the guests after their shift is over. hostel fish is a great community, we would highly recommend staying here and we would stay again if given the opportunity. "
Germany,Male,18-24,9.4,8,10,10,10,10,8,10,"great location, nice lockers for belongings; no complaints!"
USA,Female,41+,10,10,10,10,10,10,10,10,"hostel fish was great.  a few things really impressed me.  the bunks are constructed in such a way that you can get in and out of the top bunks without rattling the person below. this is a new hostel - and everything is really clean.  great bedding.  the group kitchen was big enough and had some basics.  this place is in a great location, and obviously there is a lot going on out of the place - a pub crawl on wednesday nights.  i would definitely stay there again. "
USA,Female,25-30,9.7,8,10,10,10,10,10,10,"a bit pricey when i booked but great vibes, clean and safe! lockers are quite small. "
Canada,Male,18-24,9.4,8,10,10,8,10,10,10,"amazing hostel in the heart of denver,    wouldn&amp;#39;t want to go anywhere else."
USA,Male,18-24,9.4,8,10,10,10,10,10,8,awesome hostel. $50 is a little pricy per night for a hostel but the place is sure not to disappoint. 
Canada,AllMaleGroup,31-40,8,6,6,10,8,8,8,10,"great location, great place.  love the vibe.      beds are bad and hard to access top bunks since it&#039;s warehouse racking. could see some drunk traveler dying getting in/out of those top beds."
CostaRica,Male,18-24,8.6,4,10,10,10,8,8,10,really nice and clean hostel with good location. just the price its a little high for being a hostel. 
USA,Female,25-30,10,10,10,10,10,10,10,10,"it&#039;s was great ! one of the best hostels i have stayed here in the states, definitely coming back to denver !"
Canada,Female,31-40,8,6,8,10,8,8,8,8,"great location, beautiful building.  overall i enjoyed my stay....my only issue was that having a room on their first level above the restaurant below meant that both nights i stayed there was a live band that i could hear clearly.  luckily i was incredibly jetlagged so i managed to fall asleep, but if i wasn&amp;#39;t this might have presented an issue.  next time i would request a room on their second level to avoid this concern."
Australia,Male,18-24,10,10,10,10,10,10,10,10,it&amp;#39;s very rare to stay in any hostel twice but for me hostel fish is the exception.     this hostel has to be one of the very best in the united states and perhaps even the world.    the beds are extremely comfortable ensuring a goodnights sleep regardless of which room you stay in.    the location is right in the heart of downtown and is second to none in terms of u.s hostels for its proximity to downtown.    but what makes hostel fish so great is the staff. they all rock!     10 out of 10.
USA,Female,18-24,8,6,8,10,8,10,8,6,"the service was phenomenal, the location was excellent, the bedrooms were decent (don&amp;#39;t expect any privacy though), the comforter on the bed though definitely need to be cleaned as it had a musty odor, like someone&amp;#39;s old sweat and the sheets had hairs on it "
USA,Female,25-30,9.1,8,8,10,10,10,10,8,"my mom and i stayed here for one night and we were sooooo happy with the location.  there is an awesome diner up the street if you are looking to grab breakfast, and lots of restaurants and bars one block down.  it is within walking distance of the train station and coors field as well.  the staff was very nice and had no problem storing our bags for us while we wandered the city.  also, these beds have to be the softest beds of any hostel i have stayed in!  certainly worth the price!"
USA,Female,41+,9.4,6,10,10,10,10,10,10,hostel fish was one of the nicest hostels i&amp;#39;ve stayed at.  i have stayed at a lot of  hostels!  the facilities were suburb!  i do think they charge alittle too much for a dorm bed.  i think 40 dollars should be the maximum you should pay anywhere.  they make a lot of money also at the bar so why they charge so much for a bed i do not understand.  i would cost aside highly recommend this hostel.
Australia,Female,31-40,9.7,8,10,10,10,10,10,10,awesome &#039;boutique&#039; hostel in the very funky downtown district of denver. nightlife in the surrounding neighbourhood could bother some but the hostel itself is quite. cute bar to drink in and a number of little communal areas that are pretty cool. very comfortable bed!! more pricey than other cities but well worth it. easy walk from station and most sites.
USA,Male,25-30,8.9,10,8,10,10,8,8,8,"honestly, it was great!  "
USA,Male,25-30,8.9,4,10,10,10,8,10,10,"all good, a+, but too expensive... "
USA,Male,18-24,8,6,8,10,8,8,8,8,"1) location is great (down 20th st. from coors field; 10-15 minutes easy walking distance from 16th st. mall)  2) clientele is young, outgoing and international  3) staff seems reasonably friendly   4) everything is clean and well-maintained  5) rooms are well-insulated from the noise of the bar down below   6) parking is a nightmare; the lot right by the hostel is very expensive (as much as $25 during events, but what can you say, it&amp;#39;s downtown denver)  7) price is a bit steep for what you get"
NewZealand,Female,25-30,10,10,10,10,10,10,10,10,"pretty much an ideal hostel. nice experience. no complaints. the bar was a good place to meet fellow travellers and the staff were all nice, helpful, friendly. definitely recommend! "
USA,Female,18-24,9.4,8,10,8,10,10,10,10,"very clean, well designed, and there are a number of spaces in which you can hang out within the building (general area, library, balcony, reception area). also, the wifi is very strong all throughout the building. free towels when i went. my only complaint is that the front door slams loudly. it can be heard on the 3rd floor. the windows are a little thin, so you can hear outside noise very well. however, it&amp;#39;s a hostel...bring earplugs. i had a short stay, but i enjoyed it. "
USA,Female,18-24,8.9,8,10,10,6,10,10,8,"this was the first time i had ever stayed in a hostel. it was a splendid experience. the bathrooms stunk most of the time which sort of grossed me out, but other than that i could not have asked for a better experience. staff was nice and it was in the heart of the city; right next to larimer square, the rockies stadium, and 4 blocks from 16th street. "
USA,Female,18-24,9.1,6,10,10,8,10,10,10,"fish hostel reminded me of being in europe for all things except the price . the facilities were clean , the staff was friendly the location was awesome ! all in all happy with the stay. the stay was just a little over priced, but still the best deal on denver "
USA,Female,18-24,9.1,6,10,10,8,10,10,10,"one of the nicer hostels i&amp;#39;ve been to. loved the open seating/bar/kitchen area. very clean bathrooms. very high third bunk, but manageable with outlets in reach and a small space to store items. fantastic downtown location! "
Brazil,Female,18-24,9.1,8,10,10,10,10,6,10,the hostel is really good and has the best bed ever.
England,Male,25-30,8.3,6,8,10,8,8,8,10,"perfectly fine, but overpriced for what it is, benefits from the scarcity of hostels about"
USA,Female,41+,9.1,10,10,8,6,10,10,10,it would be nice to have a teapot! and overall a more complete kitchen.   aside from that ... it was a wonderful stay!!
USA,Female,25-30,9.7,10,10,10,10,10,10,8,"clean your bathrooms a bit more (plumping is weird?), but was a great stay!!! highly recommend. don&amp;#39;t stay at a lonely hotel, stay here."
Brazil,Male,25-30,9.4,8,10,10,8,10,10,10,"it feels great staying here. now it is my home every time i think about denver. the staff is pleasant and helpful, rooms are kept indulgently clean and the travelers that stop by will become your friends for life. also close to the bars, rockies stadium and 16th street mall. there is takeout mexican food around the corner for cheap and the 20th street cafe is just one block away. "
Australia,Male,41+,9.1,10,8,8,8,10,10,10,fish is a great hostel... showing the usa why hostels are such a great option. staff are awesome.    no complaints...a suggestion is to promote green sustainable aspect and add some equipment to the kitchen.    thanks chad and ask the crew. i&amp;#39;ll be back.
USA,Male,25-30,10,10,10,10,10,10,10,10,i loved this place. everyone was super friendly. the rooms were clean and the bathrooms were clean. i was here on 420 and at night they played stoner movies on a projector screen in the bar area pretty much until quiet hours. there are some crazies but that might be because of the 420 crowd (i indulge but some people really should stay away from it). this is primo location also. i highly recommend this place and if i&amp;#39;m ever traveling solo i&amp;#39;ll come right back here. 
Australia,Male,18-24,8.6,8,8,8,8,10,8,10,"we booked this hostel last minute while sitting at the airport and i&amp;#39;m so glad we did. unfortunately it wasnt super busy so there wasnt that many people around but the place had enough character by itself. good location, incredibly clean and the beds are incredibly comfy.  we stayed in a room with one of the staff members there, he was nice and welcoming and had plenty of advice about the city. id advise anyone to stay here if they can, i definitely plan to come back."
England,Male,18-24,10,10,10,10,10,10,10,10,brilliant plac great location will be going again
Brazil,Male,25-30,6.9,4,8,10,8,6,6,6,"this hostel stays above a bar, so all the nights were very loud until 2 am and i could not sleep very well. if you&amp;#39;re looking for a party hostel that&amp;#39;s the place, if you want to sleep after a busy day just find somewhere else in airbnb (there isn&amp;#39;t many hostel in denver). facilities are good but the bathrooms could be more clean."
USA,Female,25-30,8,8,8,8,8,8,8,8,"hostel was great but found it not giving as much as i have gotten from previous hostels.  great people, bar and location to get to other bars.  however, due to location of the hostel, it was loud at nights when trying to get sleep.  "
USA,Male,18-24,9.7,10,8,10,10,10,10,10,"it was a nice, affordable place to stay in denver for a couple of days. used it as a base for my campus visit to du, which i could easily reach on the light rail network from downtown denver. great location near bars and coors field; lots of good food within an easy walking distance. nice, big rooms. clean bathrooms. bunk rooms were simple but comfortable; nice beds; lockers to keep my valuables in the room (with locks for rent) . staff were friendly and accessible at all times (even at 3am). +1"
England,Male,25-30,8.9,8,8,10,10,10,6,10,"the staff are amazing people and very helpful, i loved the location of the hostel and it has a really good kitchen, the rooms are big and very clean, great bathroom too, the only issue i didn&amp;#39;t like is the loud music on a thursday to saturday night, you just can&amp;#39;t sleep with the loud music from downstairs unless you are here to party all weekend. overall the staff were awesome "
USA,Female,41+,9.7,10,10,10,10,10,10,8,"my stay was great, i wish i had stayed the duration of my travels.  it was comfortable, great staff, secure, great location.  next time i come to denver i will definitely stay at hostel fish."
England,Female,25-30,9.1,8,10,10,10,8,10,8,"really nice hostel. very beautifully decorated with a homey, relaxing feeling. sorry i could not stay for longer."
USA,Male,25-30,9.7,8,10,10,10,10,10,10,"this place is exactly the type of hostel i love staying at. awesome staff, cool decor, a bar and plenty of cool people."
USA,Male,25-30,9.1,10,8,10,10,10,8,8,"really nice place, electronic door locks, lockers. new facility, all the beds and bathroom fixtures/showers are less than one year old (as of february 2016). comfortable beds. note that things can be a bit noisy, either from the hostel bar/lounge or the restaurant/club downstairs. requesting a room on the 3rd floor may help with some of the noise. did i mention they have a nice bar in the hostel lounge!? good drink prices, too bad pbr takes up one of their 2 available taps. great place! love it!"
USA,Female,18-24,9.7,10,10,10,8,10,10,10,"stayed here for a hockey game at coors field, mind you it is so close to the stadium that after the game it was a tad bit loud outside but it was perfect. the manager (his name escapes me) is really nice. the only thing i would suggest as a seasoned hosteler would be for them to install individual lights at each bunk so the main light doesn&amp;#39;t have to stay on and people don&amp;#39;t need flashlights. "
NewZealand,Male,25-30,8.6,6,10,10,10,8,6,10,great hostel but pretty expensive 
USA,Female,18-24,10,10,10,10,10,10,10,10,"i absolutely loved hostel fish. the hospitality was incredible from the moment we arrived to the moment we left and all-throughout.  this place thought of every single detail, and everything you&#039;d want and need in your stay. it had incredible decor and a comfortable atmosphere. the owner showed us around and gave us a run down of all the great places to stop by around the area. he also showed us around and gave us a tour that one would expect from family. what an incredible place!!!"
USA,Male,31-40,8.9,6,6,10,10,10,10,10,everything was good  except the fact that they ignored the fact that i paid a deposit to hostel world and asked a full price upon arrival.  deceptive practice.
Australia,Male,25-30,9.4,8,10,10,10,10,10,8,this is a great hostel where the staff ad owner really want to make your stay great.
Australia,Female,18-24,9.4,8,10,8,10,10,10,10,i travelled here in january and stayed for 2 nights. hostel fish does a really good job of bringing people together and creating a fun atmosphere.  super comfy beds in warm rooms. the staff were really helpful and had lots of good recommendations.  highly recommend!
USA,Male,25-30,10,10,10,10,10,10,10,10,"you already know. great hostel. one of the nicest aesthetically. great beds too. nothing i&#039;d really change. the only thing, which is consistent with other hostels, is that locks $3 rent, $5 buy. why can&#039;t it be $3 rent, but let that be a deposit that is returned? i understand that would reduce your revenue, but i doubt by very much. that rule just seems more reasonable."
Australia,Couple,18-24,10,10,10,10,10,10,10,10,"awesome hostel, we moved here after 2 nights at funkhaus which was terrible. should have come here first! facilities were great. we stayed over new years and the staff held a new years party at the bar. awesome vibe to hang out in and meet people. staff always happy to answer any question and chat. some really cool hang out spots at the hostel, loved the interior design! great hostel!"
USA,MixedGroup,25-30,9.7,10,8,10,10,10,10,10,"everyone at the hostel was very friendly, the staff was very helpful. all of the facilities were very clean, the rooms and the bathroom as well. i was very impressed by the cleanliness. the location is great, just a short walk away from 16th street and everywhere we needed to be. i would definitely stay at this hostel again."
USA,Male,31-40,9.7,10,8,10,10,10,10,10,awesome hostel..probably the best i&#039;ve been to. the staff was great. only suggestion is to get some blinds for that colorado sun coming through the windows next to the bunks in the morning!
Australia,Male,18-24,10,10,10,10,10,10,10,10,"very rarely do i feel the need to review a hostel.  however hostels as excellent as this one come along very rarely.    the location of hostel fish could not be more convenient for whatever you&#039;re doing in denver. it&#039;s only 1 block from the greyhound bus station, 3 blocks from coors field and is located right next to larmier street which has some of the best bars in colorado.    the location is only the tip of the excellence iceberg, as the staff are incredible!     overall 10 out of 10"
USA,Female,25-30,9.1,10,8,8,10,8,10,10,really great environment/location. the bed was comfy and the facilities were clean. i would definitely stay here again/recommend it to a friend.
Greece,Male,25-30,9.7,10,8,10,10,10,10,10,"very friendly staff, the actual interior of the hostel was amazing. from the outside it looks like an old building, but, boy you re in for a surprise. my hotel had a view of the skyscrapers, which is a new for me and i really liked it. adding the fact that it had a bar to hang out and drink your wine after a full day of interviews was so much worth the travel.   hope to go again there soon."
USA,Male,18-24,7.7,4,8,10,10,8,6,8,"hostel fish is extremely clean and what i would consider to be an upscale hostel. the location was incredible, right in the heart of downtown. the staff/owner seemed preoccupied with a party that the hostel was supposed to be hosting a few days after i checked out. the hostel was quite empty while i was there also, so the atmosphere was not quite what it could&#039;ve been. overall had a good stay and would recommend it as it is probably the best hostel in denver at the moment."
Australia,Female,18-24,9.1,8,10,10,8,10,8,10,really good location just on the border of lodo with quick access to local bars. lots of beerhouses nearby and the staff are lovely humans who are always down for a chat. great bar and one of the most comfortable beds i have ever slept in. great find!
Brazil,Male,31-40,8.3,6,10,8,8,8,8,10,"the hostel is very beatiful, but, i don&#039;t know... i didn&#039;t fell like i was at a hostel."
USA,Male,31-40,8.6,6,8,10,8,10,10,8,"the staff were helpful and nice; the bar area was a friendly and inviting environment. the bathrooms were clean. the location was excellent. my only complaint would be that, for ~$50/night, it would have been nice to be given a towel and a lock for free, rather than having to rent them. it&#039;s a small detail in an otherwise great experience."
Australia,Male,31-40,9.7,8,10,10,10,10,10,10,"great location really clean and comfortable beds. very pricey, but most american hostels are.  staff were super friendly and helpful, nice bar attached to the hostel and the 1 downstairs is awesome too"
USA,Male,31-40,9.4,10,8,8,10,10,10,10,"excellent staff and rooms. i had a great experience and i highly recommend  this hostel,  especially over the 11th ave hostel."
USA,Female,25-30,9.1,8,8,10,8,10,10,10,it&#039;s a very new hostel so i understand that it&#039;s still in process. overall it was a wonderful stay and i would definitely recommend it to others :)  it would be nice to have more of the following:    - individual bed lights so we don&#039;t wake up others  - more stools/cubbies in showers to place clothing  - towel hangers in the rooms  - the handicap accessible shower in the women&#039;s bathroom upstairs needs fixing  - the lockers in the room were rusty and hard to open/close
USA,Female,25-30,7.7,6,8,10,8,8,6,8,"clean, spacious, nice lounges sturdy bunks, decent breakfast, and easily walkable for downtown denver.  be forewarned that there isn&#039;t great storage space in the room (the bottom bunk is so low to the floor that we kept getting stuff stuck under the beds, but not big enough to actually put bags under).  my biggest concern was that it was loud.   i woke up at 2am to people shouting next to the reception area and the staff didn&#039;t seem to be doing anything.  definitely ask to stay on the 3rd floor."
USA,Female,41+,10,10,10,10,10,10,10,10,"as a hostel operator myself, i can tell you that connor, euie and all the girls are really  the &quot;cool kids.&quot;  i loved the location and their readiness to assist with all my needs. beautiful place."
USA,Male,25-30,10,10,10,10,10,10,10,10,"highly doubt there is a better hostel in denver. great staff, clean restrooms, and a very enjoyable atmosphere that make sit easy to meet people...."
USA,Female,25-30,8.6,8,10,10,8,10,6,8,"great staff, good location, a little noisy but otherwise very good!"
USA,Male,31-40,9.1,6,8,10,10,10,10,10,"it was a great place to spend a weekend in denver. i met many wonderful people staying there, as well as great staff.     the staff were available 24 hours a day, and were all wonderful. all of them were extremely helpful and made my stay very comfortable.    their new bar is open now, and it was great to be able to get drinks on-site!    everything was clean and comfortable, even the on the top level of the 3-tier bunkbed wasn&#039;t so bad, and was fun to climb :)    only downside, it&#039;s a little pricey :("
USA,Female,25-30,8,8,8,8,8,10,6,8,"staff very friendly and helpful.  a shame that the bar / common room was closed while i was there, because then i could not experience any &quot;atmosphere&quot; except at breakfast, when no one spoke. comfy beds, generally clean and modern facilities.  &quot;breakfast&quot; is just a warm gallon of milk and either froot loops or lucky charms, which is fine, but don&#039;t expect a full breakfast.  lockers were pretty small, and the actual hole to fit the lock through did not fit a standard combination lock."
England,Male,18-24,9.7,8,10,10,10,10,10,10,"fantastic hostel, really amazing location and facilities, the place is clean and with a great common room. a bit expensive but you certainly get what you pay for."
Canada,Male,25-30,8,8,8,10,2,10,10,8,"amazing staff, perfect location if u dont drive. solid sturdy beds, super soft and warm bedding. met lots of great people here!    cons:   parking is very expensive downtown  new hostel so patio was closed, library closed."
USA,Female,25-30,10,10,10,10,10,10,10,10,"hostel fish is an incredible place and a must-stay for anyone visiting denver! i was blown away by how clean, comfortable, and beautiful my surroundings were. bathrooms: immaculate and clearly designed for women. bedrooms: everyone was singing the praises of the mattresses, comforters, and decor! the staff were hilarious, welcoming, and enthusiastic, and the guests were great as well. as a woman i felt very safe. the location couldn&#039;t have been better--minutes from all the best spots in denver."
Brazil,Female,25-30,10,10,10,10,10,10,10,10,"i loved this hostel! one of the best that i ever had experienced. the highlights are staff very kind, cleanliness, location, facilities and atmosphere. very good!"
USA,Female,31-40,9.7,10,10,10,10,10,10,8,wonderful experience. booked one night to start and see how i felt and ended up staying 3 additional nights. helpful staff. met and made friends with people from all over the world. definitely coming back.
Belgium,Male,31-40,9.1,10,8,8,10,10,10,8,"i love this backpackers... staff was amazing and helpful. the location is very good, around the corner are the bars but the rooms are quiet. breakfest is included. the matrasses are very soft and ac in the room, just make sure you&#039;re not at the top-bunk if you want to go for a large beer cause they are three high :-p   i honostly would recommend this backpackers for every traveller. if you&#039;re ready to party or just want a good night sleep for you excursion to the many fancy things in the area."
Germany,Female,18-24,7.7,6,6,8,8,10,8,8,"i&#039;ve only stayed one night. rooms were clean, i liked the common areas, staff was very friendly . unfortunately the continental breakfast was poor..."
USA,Male,31-40,8.6,8,8,8,8,10,8,10,really happy with this stay. fun rooms and helpful staff. a really pleasant experience.
Australia,Male,25-30,10,10,10,10,10,10,10,10,"this hostel has the best atmosphere of any hostel i&#039;ve ever visited. the common room is well lit by natural lighting which helps make it a very social place where you can easily meet people. the staff are beyond helpful. the rooms are amply sized and actually decorated, so you feel valued, not just jammed in the room like pigs in a pen. the bathroom was very clean and the showers nice and warm. also it is well situated within the city."
USA,Male,41+,7.1,6,8,8,6,8,4,10,"location is great. however, the hostel is situated above a restaurant/bar that plays very loud music at night.  if you are staying during friday/saturday night, good luck getting any sleep.  also, the clientel are not your typical hostel crowd. they will walk into the room in the middle of the night and start making loud conversation, turn on the light etc (mostly people not savvy with hostel living in my opinion)."
Canada,Female,25-30,10,10,10,10,10,10,10,10,best hostel i&#039;ve stayed in!
Scotland,Male,18-24,8.6,6,8,10,6,10,10,10,very good location and has a great atmosphere. i met some interesting characters. definitely would come back - and i would recomend to a friend. i had to stay on top of a three storey bunk which was hard to get up on to and hard to get off. no lockers either.
France,MixedGroup,25-30,7.1,6,4,10,6,8,8,8,the place is great with good vibes and decoration. need a locker to be perfect and laundry service too.
Brazil,Male,18-24,9.4,8,10,10,8,10,10,10,"it is for sure a good option to stay in denver.all the employes are very friendly and they do a excellent job to make you comfortable. its downtown denver, so the location its perfect with a lot of restaurants and cool bars and clubs for you hang out at night. the place is nice with a good living room-bar, theres a guitar and piano for the musicians, a lp station with good stuff! so if you looking for a good place with good people this is it. its gonna be a good help on your colorado experience."
USA,Female,25-30,10,10,10,10,10,10,10,10,"i absolutely loved my stay, however brief. will definitely come back to hostel fish again in the future."
